City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Shingu,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
350,Mormugao,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
351,Skibbereen,US,51.75,overcast clouds,41.1415,-73.3579,The Inn at Longshore
358,Atar,MR,88.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
359,Villa Corzo,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
361,Codrington,AU,58.37,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
364,Alta Gracia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
365,Hasaki,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
366,Saint George,US,52.88,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
367,Salta,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
368,Ransang,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
369,Royan,FR,52.41,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
371,Phibun Mangsahan,TH,78.78,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
372,Tando Ghulam Ali,PK,71.46,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
376,Los Llanos De Aridane,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
377,San Cristobal,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
379,Carutapera,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
381,Shibetsu,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
383,Flinders,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
385,Veracruz,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
387,Hoopstad,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
389,Buala,SB,81.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
390,Manbij,SY,63.88,overcast clouds,36.5281,37.9549,Manbej City Hotel
392,Alugan,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
393,Curumani,CO,86.5,broken clouds,9.1999,-73.5427,Hotel Mayumir
394,Tsihombe,MG,66.72,clear sky,-18.7667,46.0333,Hotel Ravinala
397,Esna,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
398,Cap Malheureux,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
399,Almansa,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
401,Van,TR,56.86,overcast clouds,38.2059,37.1983,Sword Hotel
403,Rocha,UY,64.83,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
404,Maragogi,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
405,Cockburn Town,TC,78.03,few clouds,21.4612,-71.1419,Osprey Beach Hotel
407,Ijaki,KI,81.52,few clouds,3.0707,172.7902,Isles Sunset Lodge
408,Ewo,CG,77.77,light rain,-0.8725,14.8206,Residence Elonda Ewo
410,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
412,Dawei,MM,81.57,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
417,Sawtell,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
419,Jizan,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
421,Nguiu,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
428,Jutai,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
431,Gravina In Puglia,IT,53.55,overcast clouds,40.8197,16.4228,Hotel Alta Murgia
435,Sur,OM,79.63,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
439,Porbandar,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
441,Inhambane,MZ,72.82,moderate rain,-23.865,35.3833,Oceano
444,Sassandra,CI,76.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
445,Tomatlan,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
446,Kijang,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
447,Botshabelo,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
448,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
449,Mohanur,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
451,Savalou,BJ,85.3,light rain,9.1992,2.2586,Monastère de Kokoubou
452,Tamiahua,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
455,Umzimvubu,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
456,Acuna,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
460,Sao Joao Da Barra,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
463,Ballina,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
468,Basi,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
471,Felidhoo,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
472,Belmonte,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
473,Bela,PK,71.46,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
475,Niamey,NE,88.43,broken clouds,13.3154,12.6113,ProDAF/Diffa
476,Antalaha,MG,66.72,clear sky,-18.7667,46.0333,Hotel Ravinala
477,Plettenberg Bay,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
478,Ingham,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
480,Basco,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
481,Makasar,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
483,Barcelona,VE,84.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
484,Quatre Cocos,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
486,Broken Hill,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
490,Chiang Klang,TH,78.78,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
491,Ambilobe,MG,66.72,clear sky,-18.7667,46.0333,Hotel Ravinala
492,Pathalgaon,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
496,Huarmey,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
497,Chikwawa,MW,62.29,overcast clouds,-11.9,33.6,Zagegs Hotel
498,Porto Novo,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
500,Ordu,TR,56.86,overcast clouds,38.2059,37.1983,Sword Hotel
504,Tucuma,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
506,Macau,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
511,Horsham,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
513,Pontes E Lacerda,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
514,Nkhotakota,MW,62.29,overcast clouds,-11.9,33.6,Zagegs Hotel
517,Toluviejo,CO,86.5,broken clouds,9.1999,-73.5427,Hotel Mayumir
518,Aswan,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
521,Pangai,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
524,Pisco,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
526,La Rioja,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
527,Kununurra,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
528,Bambanglipuro,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
529,Yenagoa,NG,75.18,moderate rain,10.5222,7.4383,HAMDALA HOTEL
531,Port Hedland,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
533,Namatanai,PG,81.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
535,Port Macquarie,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
537,Izalco,SV,87.22,overcast clouds,13.7447,-89.6731,Hostal Santa Maria
539,Kayunga,UG,64.8,overcast clouds,0.7025,32.8886,Flamingo Hotel
540,Dakar,SN,77.18,clear sky,12.485,-16.5469,Auberge du Routard
543,Zambezi,ZM,67.82,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
544,Djambala,CG,77.77,light rain,-0.8725,14.8206,Residence Elonda Ewo
545,Coolum Beach,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
546,Biloela,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
549,San Mauro Torinese,IT,53.55,overcast clouds,40.8197,16.4228,Hotel Alta Murgia
561,Santa Maria Da Vitoria,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
566,Vincennes,FR,52.41,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
567,Qalyub,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
568,Villazon,BO,56.43,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
569,Alcantara,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
570,Chumphon,TH,78.78,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
573,Otuzco,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
574,Mazamari,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
575,Macaboboni,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
580,Guerrero Negro,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
581,Sayyan,YE,61.45,scattered clouds,15.1718,44.3244,ملاطف ابوحورية
582,Praia Da Vitoria,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
583,Komatipoort,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
586,Venado Tuerto,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
590,Denpasar,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
591,Alice Springs,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
595,Tuy Hoa,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
596,Victor Harbor,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
601,Waingapu,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
605,Suluq,LY,66.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
607,Marcona,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
