City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Oyon,PE,-12.0432,-77.0282,66.38,62,75,5.75,broken clouds
202,Arraial Do Cabo,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
203,Pirkkala,FI,61.4613,23.6323,36.9,90,0,1.14,clear sky
204,Dali,IT,46.6166,10.7002,49.08,82,15,3.96,few clouds
205,Kristiinankaupunki,FI,61.4613,23.6323,36.9,90,0,1.14,clear sky
206,Srikakulam,IN,10.5669,72.642,83.34,74,59,4.88,broken clouds
207,Sakakah,SA,29.9697,40.2064,74.77,13,0,9.1,clear sky
208,Svay Rieng,KH,11.0879,105.7993,80.78,78,86,5.12,overcast clouds
209,Tiznit,MA,29.5833,-9.5,74.95,23,100,2.08,overcast clouds
210,Bambous Virieux,MU,-20.5167,57.5167,77.38,94,75,1.14,light rain
211,Airai,PW,7.0419,134.2556,73.9,72,98,1.79,overcast clouds
212,Ilulissat,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
213,Bowen,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
214,Vanavara,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
215,Saint-Francois,FR,46.4154,3.9054,49.44,50,0,2.3,clear sky
216,Adrar,MR,20.5022,-10.0711,81.93,12,17,11.25,few clouds
217,Provideniya,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
218,Ngunguru,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
219,Phonhong,LA,18.5007,102.4166,74.73,88,45,0.43,scattered clouds
220,Kieta,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
221,Tarko-Sale,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
222,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,few clouds
223,Saint-Pierre,RE,-21.3393,55.4781,74.88,87,100,4.61,overcast clouds
224,Kurumkan,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
225,Tiarei,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
226,Buraydah,SA,29.9697,40.2064,74.77,13,0,9.1,clear sky
227,Saint-Augustin,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
228,Port Lincoln,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
229,Bayevo,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
230,Henderson,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
231,Kutum,SD,13.6017,26.6876,87.35,16,21,9.69,few clouds
232,Kachikau,BW,-19.6667,22.2667,69.51,77,37,2.21,moderate rain
233,Teruel,ES,42.7762,-9.0603,57.83,80,8,11.39,clear sky
234,Georgiyevka,KZ,48.5722,83.6542,48.99,31,45,4.65,scattered clouds
235,Male,MV,-0.6,73.0833,82.53,75,39,6.17,scattered clouds
236,Qaanaaq,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
237,Da Nang,VN,16.0678,108.2208,75.18,88,20,0.0,few clouds
238,Emerald,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
239,Ketchikan,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
240,Saldanha,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
241,Sangar,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
242,Ancud,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
243,Asyut,EG,26.557,31.6948,88.09,10,99,6.06,overcast clouds
244,Itarema,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
245,Ixtapa,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
246,Elat,IL,29.5581,34.9482,82.24,11,0,4.61,clear sky
247,Galle,LK,8.5711,81.2335,79.54,85,20,9.55,few clouds
248,Castro,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
249,Saint Anthony,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
250,Aklavik,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
251,Sabha,LY,29.0331,21.5482,66.24,58,97,16.4,overcast clouds
252,Saint-Philippe,RE,-21.3393,55.4781,74.88,87,100,4.61,overcast clouds
253,Alamosa,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
254,Naze,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
255,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,18.41,broken clouds
256,Zmeinogorsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
257,Jabiru,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
258,Spearfish,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
259,Padang,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
260,Barrow,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
261,Bengkulu,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
262,Misratah,LY,29.0331,21.5482,66.24,58,97,16.4,overcast clouds
263,San Vicente,PH,18.4726,120.5763,77.11,81,98,12.93,overcast clouds
